IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
31.59.120.235,4,4,0.00,181.00,0.00,CDG
193.124.18.56,4,4,0.00,181.47,0.00,LAX
139.144.77.208,4,4,0.00,181.67,0.00,FRA
193.124.18.186,4,4,0.00,181.73,0.00,LAX
57.129.137.223,4,4,0.00,181.74,0.00,LHR
193.124.18.161,4,4,0.00,181.79,0.00,LAX
57.128.182.76,4,4,0.00,181.93,0.00,LHR
31.57.46.189,4,4,0.00,182.00,0.00,SJC
139.162.135.127,4,4,0.00,182.16,0.00,FRA
139.162.145.170,4,4,0.00,182.22,0.00,FRA
139.144.178.77,4,4,0.00,182.35,0.00,FRA
193.124.18.93,4,4,0.00,182.38,0.00,LAX
57.129.137.205,4,4,0.00,182.40,0.00,LHR
193.124.18.208,4,4,0.00,182.50,0.00,LAX
139.162.145.198,4,4,0.00,182.76,0.00,FRA
193.124.18.154,4,4,0.00,182.87,0.00,LAX
193.124.18.90,4,4,0.00,183.05,0.00,LAX
135.125.191.9,4,4,0.00,183.26,0.00,FRA
47.91.2.84,4,4,0.00,183.46,0.00,SJC
139.162.134.136,4,4,0.00,183.60,0.00,FRA
139.144.77.248,4,4,0.00,183.76,0.00,FRA
193.124.18.29,4,4,0.00,183.79,0.00,LAX
193.124.18.102,4,4,0.00,183.87,0.00,LAX
139.144.178.119,4,4,0.00,183.90,0.00,FRA
47.238.93.164,4,4,0.00,184.00,0.00,HKG
139.162.145.137,4,4,0.00,184.34,0.00,FRA
139.162.148.200,4,4,0.00,184.45,0.00,FRA
193.176.179.119,4,4,0.00,184.52,0.00,CDG
57.129.137.230,4,4,0.00,184.84,0.00,LHR
193.124.18.61,4,4,0.00,185.26,0.00,LAX
139.162.147.227,4,4,0.00,185.40,0.00,FRA
45.156.26.64,4,4,0.00,185.63,0.00,ARN
139.144.77.94,4,4,0.00,185.71,0.00,FRA
139.144.77.236,4,4,0.00,186.12,0.00,FRA
57.128.179.111,4,4,0.00,186.42,0.00,LHR
57.128.181.14,4,4,0.00,186.65,0.00,LHR
139.162.148.68,4,4,0.00,186.71,0.00,FRA
194.233.175.37,4,4,0.00,186.89,0.00,FRA
139.144.180.53,4,4,0.00,187.09,0.00,FRA
193.124.18.199,4,4,0.00,187.15,0.00,LAX
193.124.18.243,4,4,0.00,187.32,0.00,LAX
193.176.179.117,4,4,0.00,187.33,0.00,CDG
57.129.63.63,4,4,0.00,187.35,0.00,FRA
139.177.180.67,4,4,0.00,187.45,0.00,FRA
57.128.183.225,4,4,0.00,187.63,0.00,LHR
193.124.18.39,4,4,0.00,187.69,0.00,LAX
193.124.18.192,4,4,0.00,187.77,0.00,LAX
135.125.239.212,4,4,0.00,187.98,0.00,FRA
193.124.18.244,4,4,0.00,188.49,0.00,LAX
57.129.137.65,4,4,0.00,188.60,0.00,LHR
191.96.153.14,4,4,0.00,188.87,0.00,CDG
193.124.18.0,4,4,0.00,189.56,0.00,LAX
193.124.18.150,4,4,0.00,189.83,0.00,LAX
139.144.77.162,4,4,0.00,190.05,0.00,FRA
57.129.137.89,4,4,0.00,190.08,0.00,LHR
57.128.183.138,4,4,0.00,190.18,0.00,LHR
57.129.137.58,4,4,0.00,190.31,0.00,LHR
193.124.18.228,4,4,0.00,190.36,0.00,LAX
139.144.179.200,4,4,0.00,190.50,0.00,FRA
193.124.18.176,4,4,0.00,190.61,0.00,LAX
139.144.77.150,4,4,0.00,190.65,0.00,FRA
193.124.18.84,4,4,0.00,190.82,0.00,LAX
139.162.148.233,4,4,0.00,190.87,0.00,FRA
193.124.18.224,4,4,0.00,190.92,0.00,LAX
193.124.18.31,4,4,0.00,190.93,0.00,LAX
94.156.115.209,4,4,0.00,190.96,0.00,FRA
139.144.77.91,4,4,0.00,190.97,0.00,FRA
45.156.21.218,4,4,0.00,191.17,0.00,DME
139.162.148.204,4,4,0.00,191.36,0.00,FRA
193.124.18.53,4,4,0.00,191.54,0.00,LAX
139.144.77.158,4,4,0.00,191.68,0.00,FRA
139.162.135.146,4,4,0.00,191.78,0.00,FRA
193.124.18.95,4,4,0.00,191.86,0.00,LAX
57.129.137.67,4,4,0.00,191.93,0.00,LHR
193.124.18.153,4,4,0.00,191.99,0.00,LAX
139.162.138.121,4,4,0.00,191.99,0.00,FRA
139.162.145.18,4,4,0.00,192.16,0.00,FRA
139.144.78.23,4,4,0.00,192.20,0.00,FRA
194.233.175.240,4,4,0.00,192.49,0.00,FRA
139.144.77.97,4,4,0.00,192.76,0.00,FRA
172.233.249.67,4,4,0.00,193.28,0.00,CDG
193.124.18.245,4,4,0.00,193.49,0.00,LAX
139.177.180.184,4,4,0.00,193.52,0.00,FRA
57.128.181.88,4,4,0.00,194.08,0.00,LHR
139.162.145.89,4,4,0.00,194.16,0.00,FRA
57.129.137.212,4,4,0.00,194.46,0.00,LHR
193.124.18.188,4,4,0.00,194.74,0.00,LAX
194.87.77.179,4,4,0.00,194.88,0.00,FRA
193.124.18.223,4,4,0.00,195.28,0.00,LAX
139.144.77.240,4,4,0.00,195.56,0.00,FRA
139.162.148.103,4,4,0.00,195.82,0.00,FRA
57.128.183.142,4,4,0.00,196.01,0.00,LHR
57.129.137.224,4,4,0.00,196.03,0.00,LHR
193.124.18.214,4,4,0.00,196.10,0.00,LAX
139.177.176.164,4,4,0.00,196.20,0.00,FRA
139.177.179.100,4,4,0.00,196.35,0.00,FRA
193.124.18.114,4,4,0.00,196.37,0.00,LAX
194.87.141.25,4,4,0.00,196.56,0.00,FRA
139.162.145.22,4,4,0.00,196.75,0.00,FRA
194.87.77.134,4,4,0.00,196.89,0.00,FRA
139.144.71.10,4,4,0.00,197.09,0.00,FRA
193.124.18.216,4,4,0.00,197.44,0.00,LAX
139.162.134.250,4,4,0.00,197.56,0.00,FRA
172.233.249.82,4,4,0.00,197.61,0.00,CDG
139.144.180.203,4,4,0.00,197.68,0.00,FRA
193.124.18.63,4,4,0.00,198.37,0.00,LAX
139.144.176.33,4,4,0.00,198.91,0.00,FRA
57.129.137.236,4,4,0.00,199.04,0.00,LHR
139.162.148.43,4,4,0.00,199.11,0.00,FRA
139.144.77.135,4,4,0.00,199.14,0.00,FRA
139.144.77.87,4,4,0.00,199.31,0.00,FRA
57.129.137.233,4,4,0.00,199.50,0.00,LHR
139.144.181.67,4,4,0.00,199.66,0.00,FRA
193.124.18.69,4,4,0.00,199.71,0.00,LAX
139.162.145.32,4,4,0.00,199.89,0.00,FRA
139.177.179.28,4,4,0.00,200.04,0.00,FRA
193.124.18.128,4,4,0.00,200.19,0.00,LAX
139.162.144.244,4,4,0.00,200.21,0.00,FRA
188.130.207.54,4,4,0.00,200.21,0.00,CDG
45.156.27.135,4,4,0.00,200.27,0.00,CDG
57.129.137.83,4,4,0.00,200.31,0.00,LHR
139.162.137.114,4,4,0.00,200.38,0.00,FRA
193.124.18.215,4,4,0.00,200.51,0.00,LAX
139.144.77.189,4,4,0.00,200.73,0.00,FRA
193.124.18.77,4,4,0.00,200.76,0.00,LAX
139.144.77.77,4,4,0.00,200.80,0.00,FRA
139.162.134.196,4,4,0.00,201.03,0.00,FRA
8.208.53.56,4,4,0.00,201.04,0.00,LHR
193.124.18.106,4,4,0.00,201.32,0.00,LAX
139.144.77.138,4,4,0.00,201.50,0.00,FRA
139.144.180.150,4,4,0.00,201.55,0.00,FRA
172.104.134.185,4,4,0.00,201.65,0.00,FRA
139.144.77.113,4,4,0.00,201.71,0.00,FRA
139.144.178.157,4,4,0.00,201.83,0.00,FRA
57.129.137.68,4,4,0.00,201.84,0.00,LHR
139.144.179.231,4,4,0.00,202.10,0.00,FRA
139.162.146.145,4,4,0.00,202.25,0.00,FRA
139.162.134.245,4,4,0.00,202.28,0.00,FRA
57.129.137.192,4,4,0.00,202.34,0.00,LHR
193.124.18.38,4,4,0.00,202.43,0.00,LAX
57.129.137.211,4,4,0.00,202.48,0.00,LHR
57.129.137.55,4,4,0.00,202.49,0.00,LHR
193.176.153.197,4,4,0.00,202.58,0.00,CDG
139.162.148.156,4,4,0.00,202.60,0.00,FRA
193.124.18.205,4,4,0.00,202.62,0.00,LAX
139.177.180.78,4,4,0.00,202.81,0.00,FRA
139.177.180.195,4,4,0.00,202.82,0.00,FRA
45.79.251.70,4,4,0.00,202.89,0.00,FRA
194.233.167.176,4,4,0.00,203.05,0.00,FRA
172.233.249.237,4,4,0.00,203.13,0.00,CDG
139.162.145.153,4,4,0.00,203.13,0.00,FRA
57.129.137.95,4,4,0.00,203.30,0.00,LHR
193.124.18.75,4,4,0.00,203.34,0.00,LAX
139.144.77.183,4,4,0.00,203.41,0.00,FRA
139.144.77.176,4,4,0.00,203.45,0.00,FRA
45.79.248.18,4,4,0.00,203.57,0.00,FRA
139.162.135.179,4,4,0.00,203.58,0.00,FRA
193.124.18.238,4,4,0.00,203.58,0.00,LAX
139.177.180.169,4,4,0.00,203.59,0.00,FRA
193.124.18.202,4,4,0.00,203.74,0.00,LAX
193.124.18.45,4,4,0.00,203.89,0.00,LAX
139.144.77.170,4,4,0.00,203.91,0.00,FRA
57.129.137.57,4,4,0.00,204.05,0.00,LHR
139.144.77.247,4,4,0.00,204.07,0.00,FRA
193.124.18.107,4,4,0.00,204.24,0.00,LAX
193.124.18.36,4,4,0.00,204.59,0.00,LAX
139.177.179.96,4,4,0.00,204.64,0.00,FRA
31.56.146.94,4,4,0.00,204.65,0.00,CDG
193.124.18.72,4,4,0.00,204.69,0.00,LAX
139.177.176.219,4,4,0.00,204.70,0.00,FRA
139.177.179.82,4,4,0.00,205.06,0.00,FRA
139.144.180.94,4,4,0.00,205.46,0.00,FRA
193.124.18.210,4,4,0.00,205.48,0.00,LAX
57.129.137.245,4,4,0.00,205.53,0.00,LHR
193.124.18.52,4,4,0.00,205.90,0.00,LAX
193.124.24.188,4,4,0.00,205.98,0.00,DFW
193.124.18.14,4,4,0.00,206.06,0.00,LAX
139.162.145.155,4,4,0.00,206.15,0.00,FRA
139.144.77.58,4,4,0.00,206.22,0.00,FRA
139.144.77.235,4,4,0.00,206.29,0.00,FRA
139.177.179.59,4,4,0.00,206.77,0.00,FRA
57.128.183.107,4,4,0.00,206.93,0.00,LHR
45.156.26.34,4,4,0.00,206.94,0.00,ARN
172.233.249.101,4,4,0.00,207.03,0.00,CDG
