IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
193.124.18.101,4,4,0.00,290.44,0.00,LAX
109.74.197.249,4,4,0.00,292.13,0.00,LHR
15.204.89.212,4,4,0.00,292.63,0.00,PDX
193.124.18.250,4,4,0.00,293.07,0.00,LAX
193.176.153.198,4,4,0.00,293.18,0.00,CDG
195.133.83.109,4,4,0.00,293.21,0.00,FRA
147.135.76.52,4,4,0.00,293.41,0.00,IAD
193.124.18.26,4,4,0.00,293.74,0.00,LAX
193.124.18.167,4,4,0.00,294.41,0.00,LAX
193.124.18.5,4,4,0.00,295.04,0.00,LAX
91.149.238.88,4,4,0.00,295.22,0.00,MAN
15.204.90.125,4,4,0.00,296.86,0.00,PDX
40.160.10.83,4,4,0.00,297.06,0.00,IAD
31.59.120.153,4,4,0.00,297.22,0.00,CDG
15.204.91.37,4,4,0.00,298.61,0.00,PDX
129.159.241.172,4,4,0.00,298.67,0.00,FRA
193.124.18.134,4,4,0.00,299.28,0.00,LAX
193.124.18.111,4,4,0.00,299.45,0.00,LAX
193.124.18.112,4,4,0.00,300.14,0.00,LAX
109.237.26.180,4,4,0.00,300.84,0.00,LHR
193.176.158.10,4,4,0.00,300.85,0.00,CDG
47.79.92.16,4,4,0.00,301.09,0.00,SEA
193.124.18.13,4,4,0.00,301.85,0.00,LAX
166.88.159.58,4,4,0.00,302.46,0.00,ORD
57.129.137.200,4,4,0.00,302.74,0.00,LHR
89.168.110.240,4,4,0.00,303.85,0.00,FRA
193.124.18.119,4,4,0.00,305.29,0.00,LAX
193.124.18.129,4,4,0.00,305.54,0.00,LAX
57.129.137.238,4,4,0.00,305.75,0.00,LHR
193.124.18.125,4,4,0.00,306.80,0.00,LAX
193.124.18.140,4,4,0.00,307.85,0.00,LAX
217.60.39.223,4,4,0.00,307.89,0.00,CDG
193.124.18.35,4,4,0.00,308.88,0.00,LAX
193.124.18.76,4,4,0.00,308.93,0.00,LAX
193.124.18.136,4,4,0.00,309.67,0.00,LAX
217.60.39.80,4,4,0.00,311.24,0.00,CDG
193.124.18.212,4,4,0.00,311.30,0.00,LAX
91.149.238.31,4,4,0.00,311.32,0.00,MAN
57.128.182.21,4,4,0.00,312.27,0.00,LHR
193.124.18.143,4,4,0.00,312.79,0.00,LAX
193.124.18.180,4,4,0.00,313.06,0.00,LAX
193.124.18.34,4,4,0.00,313.50,0.00,LAX
57.129.137.204,4,4,0.00,314.62,0.00,LHR
57.128.183.13,4,4,0.00,315.38,0.00,LHR
139.144.77.109,4,4,0.00,316.05,0.00,FRA
193.124.18.139,4,4,0.00,316.50,0.00,LAX
193.124.18.179,4,4,0.00,319.41,0.00,LAX
193.124.18.138,4,4,0.00,319.88,0.00,LAX
193.124.18.87,4,4,0.00,321.85,0.00,LAX
57.129.137.79,4,4,0.00,322.13,0.00,LHR
139.144.70.103,4,4,0.00,323.38,0.00,FRA
193.124.18.100,4,4,0.00,323.54,0.00,LAX
40.160.4.221,4,4,0.00,323.65,0.00,IAD
147.135.78.149,4,4,0.00,323.90,0.00,IAD
57.129.137.53,4,4,0.00,324.49,0.00,LHR
193.124.18.127,4,4,0.00,324.67,0.00,LAX
193.124.18.32,4,4,0.00,324.79,0.00,LAX
193.124.18.239,4,4,0.00,325.37,0.00,LAX
104.248.241.182,4,4,0.00,325.54,0.00,FRA
178.128.194.185,4,4,0.00,325.65,0.00,FRA
193.124.18.168,4,4,0.00,326.19,0.00,LAX
193.124.18.233,4,4,0.00,328.01,0.00,LAX
194.87.141.49,4,4,0.00,328.32,0.00,FRA
178.128.195.19,4,4,0.00,329.16,0.00,FRA
193.124.18.170,4,4,0.00,329.29,0.00,LAX
193.124.18.242,4,4,0.00,330.38,0.00,LAX
2.57.242.12,4,4,0.00,330.96,0.00,CDG
193.124.18.57,4,4,0.00,331.04,0.00,LAX
193.124.18.21,4,4,0.00,331.85,0.00,LAX
47.90.181.148,4,4,0.00,332.51,0.00,IAD
193.108.118.99,4,4,0.00,332.79,0.00,FRA
193.108.118.85,4,4,0.00,333.12,0.00,FRA
57.129.137.51,4,4,0.00,333.23,0.00,LHR
193.124.18.88,4,4,0.00,333.70,0.00,LAX
193.124.18.236,4,4,0.00,333.75,0.00,LAX
193.124.18.237,4,4,0.00,334.09,0.00,LAX
178.128.201.81,4,4,0.00,334.57,0.00,FRA
57.129.137.93,4,4,0.00,334.72,0.00,LHR
193.124.18.12,4,4,0.00,334.80,0.00,LAX
194.36.170.74,4,4,0.00,335.05,0.00,CDG
193.124.18.71,4,4,0.00,335.28,0.00,LAX
104.131.109.193,4,4,0.00,335.31,0.00,EWR
15.204.91.39,4,4,0.00,335.78,0.00,PDX
147.135.78.244,4,4,0.00,335.80,0.00,IAD
193.124.18.40,4,4,0.00,336.30,0.00,LAX
193.124.18.218,4,4,0.00,336.50,0.00,LAX
57.129.137.241,4,4,0.00,337.49,0.00,LHR
104.248.240.194,4,4,0.00,338.73,0.00,FRA
193.124.18.213,4,4,0.00,339.00,0.00,LAX
15.204.225.17,4,4,0.00,339.23,0.00,IAD
193.124.18.190,4,4,0.00,339.69,0.00,LAX
40.160.5.45,4,4,0.00,339.83,0.00,IAD
162.19.224.15,4,4,0.00,339.84,0.00,FRA
193.124.18.207,4,4,0.00,340.21,0.00,LAX
15.204.58.119,4,4,0.00,340.56,0.00,PDX
57.128.183.248,4,4,0.00,340.77,0.00,LHR
104.248.243.197,4,4,0.00,341.60,0.00,FRA
193.124.18.232,4,4,0.00,341.68,0.00,LAX
15.204.91.81,4,4,0.00,342.10,0.00,PDX
193.124.18.74,4,4,0.00,342.93,0.00,LAX
194.116.214.150,4,4,0.00,342.94,0.00,CDG
193.124.18.59,4,4,0.00,343.73,0.00,LAX
193.124.18.254,4,4,0.00,343.74,0.00,LAX
57.129.137.54,4,4,0.00,343.87,0.00,LHR
193.124.18.8,4,4,0.00,344.12,0.00,LAX
15.204.90.173,4,4,0.00,345.71,0.00,PDX
148.113.202.133,4,4,0.00,346.01,0.00,YYZ
135.125.239.114,4,4,0.00,346.42,0.00,FRA
193.124.18.89,4,4,0.00,347.57,0.00,LAX
104.248.46.225,4,4,0.00,347.60,0.00,FRA
15.204.225.198,4,4,0.00,347.60,0.00,IAD
178.128.195.155,4,4,0.00,347.68,0.00,FRA
193.124.18.15,4,4,0.00,347.75,0.00,LAX
193.124.18.27,4,4,0.00,348.16,0.00,LAX
178.128.200.49,4,4,0.00,348.45,0.00,FRA
15.204.224.107,4,4,0.00,348.56,0.00,IAD
193.124.18.66,4,4,0.00,348.79,0.00,LAX
193.124.18.222,4,4,0.00,349.17,0.00,LAX
15.204.89.57,4,4,0.00,349.41,0.00,PDX
193.124.18.22,4,4,0.00,350.39,0.00,LAX
147.135.78.66,4,4,0.00,350.53,0.00,IAD
193.124.18.85,4,4,0.00,350.79,0.00,LAX
193.124.18.246,4,4,0.00,350.83,0.00,LAX
57.129.137.229,4,4,0.00,351.02,0.00,LHR
15.204.91.43,4,4,0.00,351.52,0.00,PDX
209.38.240.107,4,4,0.00,351.81,0.00,FRA
193.124.18.86,4,4,0.00,351.81,0.00,LAX
15.204.90.209,4,4,0.00,352.11,0.00,PDX
104.248.33.6,4,4,0.00,353.08,0.00,FRA
15.204.89.84,4,4,0.00,353.32,0.00,PDX
193.124.18.116,4,4,0.00,354.48,0.00,LAX
193.124.18.10,4,4,0.00,354.62,0.00,LAX
57.129.137.239,4,4,0.00,354.89,0.00,LHR
193.124.18.142,4,4,0.00,355.23,0.00,LAX
193.124.18.200,4,4,0.00,355.26,0.00,LAX
193.124.18.117,4,4,0.00,355.30,0.00,LAX
40.160.5.87,4,4,0.00,355.42,0.00,IAD
46.8.226.20,4,4,0.00,355.54,0.00,HKG
104.248.33.167,4,4,0.00,355.73,0.00,FRA
193.124.18.99,4,4,0.00,355.82,0.00,LAX
95.182.96.174,4,4,0.00,355.90,0.00,CDG
185.228.236.192,4,4,0.00,356.09,0.00,FRA
194.36.170.90,4,4,0.00,357.32,0.00,CDG
15.204.90.98,4,4,0.00,357.38,0.00,PDX
15.204.89.91,4,4,0.00,357.86,0.00,PDX
209.38.240.197,4,4,0.00,358.12,0.00,FRA
193.124.18.124,4,4,0.00,359.08,0.00,LAX
193.124.18.203,4,4,0.00,359.29,0.00,LAX
193.124.18.65,4,4,0.00,359.34,0.00,LAX
193.124.18.81,4,4,0.00,359.54,0.00,LAX
193.124.18.146,4,4,0.00,359.70,0.00,LAX
129.213.44.109,4,4,0.00,360.47,0.00,IAD
193.124.18.73,4,4,0.00,360.95,0.00,LAX
193.124.18.227,4,4,0.00,361.29,0.00,LAX
209.38.246.168,4,4,0.00,361.49,0.00,FRA
193.124.18.104,4,4,0.00,362.99,0.00,LAX
193.124.18.133,4,4,0.00,364.91,0.00,LAX
57.129.137.203,4,4,0.00,366.52,0.00,LHR
193.124.18.189,4,4,0.00,369.67,0.00,LAX
57.128.183.90,4,4,0.00,371.64,0.00,LHR
209.38.253.160,4,4,0.00,373.67,0.00,FRA
217.60.38.13,4,4,0.00,374.94,0.00,HKG
193.124.18.178,4,4,0.00,375.29,0.00,LAX
193.124.18.47,4,4,0.00,377.87,0.00,LAX
45.84.88.160,4,4,0.00,379.57,0.00,CDG
193.124.18.123,4,4,0.00,380.17,0.00,LAX
178.128.194.220,4,4,0.00,382.53,0.00,FRA
193.124.18.221,4,4,0.00,383.42,0.00,LAX
57.128.180.238,4,4,0.00,384.49,0.00,LHR
193.124.18.16,4,4,0.00,384.55,0.00,LAX
193.124.18.158,4,4,0.00,386.67,0.00,LAX
193.124.18.217,4,4,0.00,387.15,0.00,LAX
193.124.18.147,4,4,0.00,392.26,0.00,LAX
91.149.239.122,4,4,0.00,396.32,0.00,LAX
15.204.91.105,4,4,0.00,398.25,0.00,PDX
15.204.225.239,4,4,0.00,398.30,0.00,IAD
